## SAFE Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | pH_Status | Ammonia_Status | Temp_Status | Turbidity_Status | Water_Pump | Heater |
| 5.3 | 0.0550 | 21.5 | 34 | 0 | 0 | 0 | 0 | ON | ON |
| 5.6 | 0.0960 | 24.3 | 22 | 0 | 0 | 0 | 0 | ON | ON |
| 5.6 | 0.0920 | 26.1 | 22 | 0 | 0 | 1 | 0 | ON | OFF |
| 5.4 | 0.0730 | 25.8 | 22 | 0 | 0 | 0 | 0 | ON | ON |
| 5.1 | 0.0570 | 25.4 | 26 | 0 | 0 | 0 | 0 | ON | ON |
| 5.2 | 0.0420 | 24.8 | 23 | 0 | 1 | 0 | 0 | ON | ON |
| 5.0 | 0.0410 | 25.5 | 19 | 0 | 1 | 0 | 1 | OFF | ON |

## DANGER Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | pH_Status | Ammonia_Status | Temp_Status | Turbidity_Status | Water_Pump | Heater |
|---:|---:|---:|---:|---:|---:|---:|---:|---|---|
| 6.6 | 0.0480 | 21.7 | 27 | 1 | 1 | 0 | 0 | ON | ON |
| 6.6 | 0.0510 | 21.5 | 29 | 1 | 0 | 0 | 0 | ON | ON |
| 6.1 | 0.0270 | 22.3 | 19 | 0 | 1 | 0 | 1 | ON | ON |
| 7.2 | 0.0740 | 23.4 | 29 | 1 | 0 | 0 | 0 | ON | ON |
| 6.8 | 0.0480 | 24.9 | 28 | 1 | 1 | 0 | 0 | ON | ON |
| 6.2 | 0.0990 | 23.9 | 24 | 0 | 0 | 0 | 0 | ON | ON |
| 7.0 | 0.0840 | 23.4 | 30 | 1 | 0 | 0 | 0 | ON | ON |
| 6.8 | 0.0200 | 23.2 | 34 | 1 | 1 | 0 | 0 | ON | ON |
| 6.4 | 0.0990 | 22.8 | 22 | 0 | 0 | 0 | 0 | ON | ON |
| 7.0 | 0.0980 | 22.7 | 21 | 1 | 0 | 0 | 0 | ON | ON |
| 7.1 | 0.0160 | 21.9 | 22 | 1 | 1 | 0 | 0 | ON | ON |
| 6.8 | 0.0330 | 21.2 | 21 | 1 | 1 | 0 | 0 | ON | ON |
| 6.3 | 0.0690 | 21.1 | 33 | 0 | 0 | 0 | 0 | ON | ON |
| 6.5 | 0.0550 | 22.1 | 30 | 1 | 0 | 0 | 0 | ON | ON |
| 6.4 | 0.0110 | 22.3 | 24 | 0 | 1 | 0 | 0 | ON | ON |
| 6.9 | 0.0370 | 24.3 | 30 | 1 | 1 | 0 | 0 | ON | ON |
| 6.9 | 0.0820 | 24.9 | 20 | 1 | 0 | 0 | 0 | ON | ON |
| 6.2 | 0.0160 | 21.6 | 30 | 0 | 1 | 0 | 0 | ON | ON |
| 6.9 | 0.0400 | 22.5 | 32 | 1 | 1 | 0 | 0 | ON | ON |
| 6.9 | 0.0930 | 22.6 | 26 | 1 | 0 | 0 | 0 | ON | ON |
