PH,AMMONIA,TEMP,DO,do,TURBIDITY
5.3,0.055,21.27,11.4,Excellent,21.3
5.1,0.045,21.24,9.8,Excellent,28.3
5.3,0.023,21.17,9.4,Excellent,20.6
6.0,0.05,21.14,6.6,Good,29.2
5.6,0.044,21.32,9.4,Excellent,29.7
5.8,0.089,21.7,6.2,Good,27.1
5.9,0.006,21.72,7.6,Good,25.3
6.0,0.021,21.78,8.4,Good,32.0
5.8,0.036,21.94,9.8,Excellent,19.5
5.2,0.039,22.03,8.5,Excellent,24.1
6.0,0.061,22.14,6.2,Good,26.7
5.0,0.05,22.21,8.5,Excellent,33.6
5.8,0.087,22.27,9.8,Excellent,32.4
5.1,0.1,22.52,11.7,Excellent,20.5
5.2,0.077,23.33,10.9,Excellent,24.4
5.7,0.04,23.33,6.8,Good,27.8
5.9,0.095,23.43,11.9,Excellent,29.0
5.1,0.018,23.75,8.2,Good,19.9
5.5,0.03,23.76,7.3,Good,20.5
5.9,0.093,23.88,9.2,Excellent,23.3
5.8,0.056,23.99,6.4,Good,28.5
5.9,0.083,24.02,10.6,Excellent,31.0
5.8,0.097,24.03,9.5,Excellent,24.3
5.8,0.078,24.5,11.1,Excellent,24.3
5.3,0.077,24.51,8.0,Good,19.9
5.3,0.031,24.82,9.4,Excellent,31.5
5.0,0.021,25.08,9.2,Excellent,22.1
5.6,0.095,25.34,11.1,Excellent,21.5
5.7,0.071,25.73,10.0,Excellent,26.9
5.2,0.076,25.97,7.9,Good,24.3
5.1,0.008,25.99,7.1,Good,30.1
5.5,0.007,25.95,6.9,Good,29.2
6.0,0.071,25.88,9.8,Excellent,25.2
5.8,0.054,25.83,6.2,Good,30.0
5.1,0.014,25.74,10.7,Excellent,19.4
5.5,0.011,25.62,9.0,Excellent,27.3
5.4,0.009,25.61,6.5,Good,29.6
5.5,0.059,25.54,6.7,Good,30.7
5.0,0.026,25.26,11.5,Excellent,28.1
5.7,0.093,25.22,7.3,Good,28.1
5.1,0.062,24.82,6.6,Good,22.7
5.6,0.019,24.75,10.1,Excellent,24.1
5.1,0.096,24.58,6.2,Good,19.8
5.1,0.049,24.54,6.8,Good,24.5
5.9,0.083,24.25,9.8,Excellent,28.6
5.0,0.085,24.23,11.9,Excellent,31.8
5.3,0.017,24.13,7.7,Good,19.1
5.8,0.005,23.95,11.6,Excellent,20.0
5.9,0.022,23.94,7.3,Good,23.9
5.3,0.041,23.89,9.0,Excellent,30.9
5.5,0.03,23.85,9.1,Excellent,34.3
6.0,0.03,23.68,10.4,Excellent,32.0
5.0,0.023,23.5,8.4,Good,34.3
6.0,0.067,23.47,11.2,Excellent,31.1
5.0,0.041,23.34,6.8,Good,26.8
5.5,0.037,23.26,6.3,Good,19.2
5.0,0.009,23.21,9.7,Excellent,20.0
5.6,0.041,23.14,7.4,Good,24.8
5.9,0.07,23.07,10.3,Excellent,29.1
5.0,0.034,22.79,10.8,Excellent,22.7
5.6,0.063,22.69,7.2,Good,19.5
5.5,0.058,22.59,8.1,Good,30.6
5.7,0.068,22.57,11.3,Excellent,23.4
5.7,0.005,22.53,6.5,Good,20.9
5.3,0.067,22.52,9.2,Excellent,34.1
5.9,0.049,22.21,10.4,Excellent,20.7
5.1,0.002,22.12,9.2,Excellent,29.9
5.0,0.089,22.03,6.8,Good,30.5
5.4,0.031,21.88,11.6,Excellent,20.8
5.6,0.094,21.79,10.6,Excellent,31.1
5.7,0.077,21.67,6.7,Good,27.7
5.3,0.019,21.62,10.1,Excellent,31.4
5.0,0.064,21.55,8.6,Excellent,20.7
5.3,0.019,21.5,6.5,Good,33.6
5.3,0.055,21.46,6.2,Good,34.4
5.5,0.012,21.35,10.3,Excellent,21.9
5.8,0.039,21.52,10.1,Excellent,24.0
5.4,0.061,21.92,11.7,Excellent,33.3
5.2,0.071,21.93,11.9,Excellent,30.5
5.3,0.029,21.96,10.7,Excellent,23.6
5.2,0.055,22.31,8.7,Excellent,29.3
5.1,0.021,23.06,11.6,Excellent,24.3
5.4,0.049,23.15,7.3,Good,23.1
5.7,0.066,23.23,8.6,Excellent,21.7
5.8,0.035,23.3,9.6,Excellent,21.6
5.0,0.011,23.53,10.3,Excellent,34.0
5.1,0.075,23.75,6.6,Good,27.8
5.2,0.043,24.03,7.2,Good,29.3
5.1,0.044,24.05,8.1,Good,27.0
5.6,0.082,24.05,6.7,Good,34.1
5.7,0.027,24.22,9.9,Excellent,24.6
5.6,0.096,24.29,6.0,Good,21.5
5.6,0.079,24.39,8.8,Excellent,21.2
5.8,0.017,24.39,10.8,Excellent,23.3
5.0,0.045,24.76,7.8,Good,20.1
5.2,0.096,24.9,8.5,Excellent,24.8
5.9,0.018,24.93,8.5,Excellent,18.7
5.3,0.093,25.01,7.3,Good,27.0
5.4,0.032,25.13,10.6,Excellent,19.5
5.6,0.058,25.17,6.9,Good,30.3
5.2,0.03,25.55,11.5,Excellent,33.5
5.1,0.017,25.64,11.9,Excellent,29.6
5.4,0.07,26.08,7.7,Good,22.3
5.6,0.092,26.07,6.1,Good,21.6
5.5,0.031,25.86,7.5,Good,27.4
5.4,0.073,25.83,6.0,Good,22.3
5.7,0.077,25.75,7.0,Good,29.6
5.4,0.047,25.73,6.9,Good,31.2
5.7,0.026,25.65,6.5,Good,32.0
6.0,0.024,25.58,9.8,Excellent,24.9
5.1,0.059,25.45,10.9,Excellent,24.3
5.1,0.057,25.37,6.0,Good,25.9
5.7,0.011,25.15,8.0,Good,19.6
5.7,0.021,25.15,9.8,Excellent,25.7
5.1,0.035,25.1,10.9,Excellent,23.5
6.0,0.062,25.07,6.8,Good,21.9
5.4,0.094,24.98,7.3,Good,33.5
5.2,0.07,24.87,7.8,Good,19.1
5.0,0.082,24.69,7.3,Good,31.4
5.5,0.062,24.66,8.1,Good,32.4
5.8,0.053,24.66,10.7,Excellent,22.8
5.7,0.056,24.5,10.1,Excellent,29.4
5.5,0.054,24.21,10.1,Excellent,21.4
5.4,0.088,24.15,12.0,Excellent,22.6
5.5,0.078,24.11,8.4,Good,26.1
5.0,0.065,24.07,8.6,Excellent,29.8
5.5,0.01,24.01,10.4,Excellent,25.9
5.4,0.066,23.61,7.8,Good,30.4
5.4,0.014,23.09,11.6,Excellent,24.7
5.6,0.037,23.02,10.5,Excellent,23.9
6.0,0.063,22.87,11.3,Excellent,19.3
5.8,0.076,22.84,8.3,Good,33.7
5.5,0.091,22.93,9.2,Excellent,28.4
5.5,0.016,22.89,6.7,Good,19.7
5.2,0.021,22.72,11.8,Excellent,23.3
5.0,0.092,22.71,6.9,Good,29.7
5.6,0.092,22.46,10.7,Excellent,30.8
5.2,0.095,22.35,6.6,Good,26.9
6.0,0.072,22.34,12.0,Excellent,33.8
5.7,0.057,22.33,9.4,Excellent,26.8
5.1,0.056,22.22,9.8,Excellent,30.1
5.3,0.069,22.02,8.9,Excellent,27.2
5.0,0.074,21.96,11.9,Excellent,27.9
5.1,0.039,21.79,8.4,Good,32.1
5.4,0.009,21.72,10.2,Excellent,28.2
5.0,0.006,21.7,8.6,Excellent,30.4
5.7,0.04,21.48,11.5,Excellent,28.5
5.9,0.013,21.13,11.7,Excellent,21.7
5.0,0.065,21.35,8.7,Excellent,34.3
5.0,0.004,21.36,10.0,Excellent,24.1
5.0,0.067,21.39,8.4,Good,28.7
6.0,0.05,21.78,11.9,Excellent,27.5
5.1,0.003,21.81,9.0,Excellent,22.8
5.4,0.011,22.07,8.2,Good,26.8
6.0,0.083,22.07,11.0,Excellent,29.5
5.5,0.05,22.15,10.2,Excellent,31.2
6.0,0.035,22.25,8.3,Good,20.9
5.8,0.01,22.5,8.6,Excellent,33.0
5.7,0.004,22.82,9.3,Excellent,24.4
5.2,0.025,22.92,7.1,Good,25.8
5.6,0.008,22.94,11.4,Excellent,25.9
5.2,0.051,23.32,11.5,Excellent,25.2
5.8,0.054,23.54,7.2,Good,30.0
5.0,0.072,23.79,6.8,Good,29.5
5.4,0.054,24.04,10.6,Excellent,19.5
5.9,0.091,24.09,7.4,Good,30.3
5.8,0.016,24.21,8.6,Excellent,19.5
5.4,0.066,24.3,11.0,Excellent,31.9
5.7,0.056,24.34,9.3,Excellent,28.7
5.6,0.014,24.53,10.8,Excellent,26.4
5.5,0.076,24.55,9.7,Excellent,23.6
5.2,0.042,24.77,6.2,Good,22.9
5.0,0.019,25.23,7.2,Good,24.0
5.5,0.083,25.93,7.2,Good,20.1
5.9,0.043,25.91,6.8,Good,22.1
5.9,0.09,25.9,11.9,Excellent,20.2
5.9,0.036,25.66,10.0,Excellent,32.2
5.0,0.041,25.46,6.4,Good,18.8
5.2,0.009,25.28,8.0,Good,29.1
5.2,0.061,25.26,9.0,Excellent,22.9
5.4,0.001,25.21,9.1,Excellent,28.3
5.2,0.065,24.98,9.7,Excellent,21.8
5.4,0.08,24.88,10.4,Excellent,24.7
5.8,0.02,24.74,11.2,Excellent,33.9
5.1,0.096,24.62,7.9,Good,23.0
5.5,0.004,24.56,10.3,Excellent,20.4
5.8,0.097,24.55,8.9,Excellent,31.1
5.3,0.007,24.53,11.1,Excellent,31.1
6.0,0.09,24.38,6.0,Good,20.6
5.1,0.044,24.38,7.7,Good,31.5
5.0,0.04,24.29,11.6,Excellent,18.8
5.3,0.034,24.21,7.5,Good,24.3
5.8,0.017,24.2,12.0,Excellent,25.2
5.0,0.015,24.13,6.8,Good,28.2
6.0,0.004,23.97,7.0,Good,23.7
5.2,0.038,23.79,9.8,Excellent,22.4
5.8,0.048,23.77,8.0,Good,21.0
5.4,0.053,23.7,9.4,Excellent,25.8
5.6,0.087,23.67,9.4,Excellent,26.9
5.0,0.002,23.56,7.6,Good,26.8
5.7,0.017,23.27,8.6,Excellent,24.4
5.0,0.089,23.22,8.9,Excellent,27.5
5.5,0.079,22.98,11.4,Excellent,18.7
5.5,0.033,22.96,10.3,Excellent,30.0
5.5,0.033,22.47,7.9,Good,19.1
5.7,0.007,22.32,6.1,Good,21.1
5.6,0.08,22.27,9.6,Excellent,26.4
5.0,0.039,22.2,9.6,Excellent,22.6
5.5,0.078,22.03,9.3,Excellent,21.3
5.4,0.026,21.92,8.1,Good,31.7
5.3,0.011,21.84,6.5,Good,30.0
5.6,0.052,21.72,10.5,Excellent,23.0
5.1,0.04,21.65,10.1,Excellent,21.9
5.9,0.035,21.53,8.3,Good,21.1
5.9,0.07,21.44,9.9,Excellent,32.5
6.0,0.022,21.41,10.8,Excellent,25.7
5.6,0.098,21.14,8.3,Good,33.9
5.3,0.043,21.1,8.5,Excellent,25.8
5.6,0.007,21.07,8.5,Excellent,30.2
5.4,0.074,21.02,9.1,Excellent,32.3
5.6,0.06,21.12,8.1,Good,30.5
5.8,0.09,21.4,10.2,Excellent,25.7
6.0,0.091,21.48,11.3,Excellent,23.2
5.5,0.044,21.61,7.1,Good,26.8
5.9,0.034,21.8,9.1,Excellent,20.3
6.0,0.097,22.08,12.0,Excellent,30.1
5.7,0.099,23.9,7.5,Good,26.5
5.6,0.088,23.99,7.4,Good,23.8
5.7,0.059,24.22,7.3,Good,27.9
5.9,0.009,24.34,7.8,Good,30.3
5.2,0.093,24.56,10.6,Excellent,25.2
5.1,0.085,24.78,7.2,Good,30.8
5.9,0.092,24.83,8.8,Excellent,25.6
6.0,0.075,24.92,8.4,Good,23.7
5.0,0.085,24.97,9.7,Excellent,28.2
5.0,0.09,24.98,8.4,Good,20.7
5.0,0.094,24.99,11.8,Excellent,22.3
5.1,0.035,25.09,10.2,Excellent,19.9
5.0,0.073,25.16,7.2,Good,18.9
5.8,0.053,25.18,9.0,Excellent,33.4
5.6,0.012,25.21,10.0,Excellent,23.6
5.4,0.081,25.49,9.6,Excellent,23.4
5.1,0.035,25.56,11.0,Excellent,21.2
5.0,0.043,25.66,6.3,Good,30.0
5.3,0.025,25.9,9.6,Excellent,21.1
5.4,0.039,25.92,9.8,Excellent,21.5
5.7,0.069,25.66,8.7,Excellent,32.1
5.7,0.041,25.56,11.1,Excellent,30.8
5.2,0.022,25.51,9.6,Excellent,33.0
5.3,0.057,25.42,7.0,Good,20.4
5.4,0.041,25.38,8.8,Excellent,27.1
6.0,0.022,25.37,10.5,Excellent,27.8
6.0,0.066,25.32,8.6,Excellent,30.4
5.7,0.055,25.11,6.3,Good,22.7
5.4,0.052,25.08,10.8,Excellent,24.6
5.5,0.017,25.06,8.7,Excellent,28.8
5.2,0.039,24.99,8.2,Good,22.3
5.9,0.05,24.86,8.2,Good,24.6
5.9,0.066,24.85,7.8,Good,33.1
6.0,0.032,24.65,7.8,Good,23.5
6.0,0.098,24.48,9.4,Excellent,24.3
5.0,0.069,24.47,8.8,Excellent,27.6
5.8,0.071,24.29,11.9,Excellent,32.9
5.0,0.099,24.18,10.1,Excellent,30.8
5.4,0.053,24.14,9.2,Excellent,34.3
6.0,0.001,24.1,8.0,Good,30.5
5.5,0.07,23.91,6.1,Good,31.3
6.0,0.09,23.72,6.6,Good,31.9
5.6,0.038,23.66,10.1,Excellent,33.8
5.4,0.071,23.59,6.4,Good,30.9
5.0,0.034,23.41,8.0,Good,33.7
5.9,0.077,23.36,10.9,Excellent,23.9
5.8,0.004,23.25,10.4,Excellent,31.1
5.1,0.014,22.96,9.9,Excellent,22.9
5.5,0.054,22.86,10.5,Excellent,23.9
5.3,0.026,22.84,9.5,Excellent,22.3
5.3,0.003,22.74,10.0,Excellent,30.1
5.9,0.04,22.41,11.7,Excellent,23.1
5.0,0.001,22.38,7.0,Good,34.4
5.2,0.07,22.16,10.8,Excellent,27.4
5.5,0.068,22.02,7.3,Good,25.0
5.5,0.099,21.94,10.0,Excellent,31.6
5.7,0.016,21.91,9.5,Excellent,33.5
6.0,0.023,21.8,10.4,Excellent,22.9
6.0,0.014,21.65,9.0,Excellent,18.8
5.2,0.071,21.62,6.8,Good,21.1
5.4,0.073,21.53,8.7,Excellent,34.3
5.5,0.087,21.5,6.5,Good,26.7
5.5,0.01,21.45,10.5,Excellent,29.9
5.2,0.039,21.3,10.4,Excellent,20.9
5.1,0.035,21.25,6.7,Good,28.2
5.6,0.071,21.11,11.9,Excellent,30.0
5.3,0.082,21.02,10.7,Excellent,29.4
5.9,0.031,21.08,11.4,Excellent,28.7
5.0,0.015,21.16,10.4,Excellent,31.4
5.5,0.034,21.38,11.5,Excellent,26.3
5.6,0.04,21.39,10.7,Excellent,34.0
5.8,0.013,21.56,9.6,Excellent,30.3
5.1,0.087,21.71,10.8,Excellent,26.7
5.8,0.085,21.93,6.2,Good,29.8
5.1,0.048,21.99,11.7,Excellent,28.5
5.4,0.039,22.07,11.2,Excellent,30.6
5.5,0.005,22.21,9.2,Excellent,33.3
6.0,0.06,22.22,8.9,Excellent,26.0
5.9,0.091,22.4,6.8,Good,33.6
5.7,0.045,22.9,9.4,Excellent,27.5
5.9,0.085,23.36,10.6,Excellent,23.8
5.2,0.072,23.38,6.8,Good,28.3
5.5,0.07,23.43,10.1,Excellent,27.0
5.5,0.028,23.59,12.0,Excellent,26.9
5.0,0.064,23.59,6.5,Good,29.1
5.2,0.013,23.6,7.4,Good,29.5
5.1,0.083,23.82,7.5,Good,32.2
5.7,0.057,24.36,10.8,Excellent,24.1
5.4,0.018,24.85,11.7,Excellent,22.5
5.8,0.032,24.97,8.8,Excellent,22.6
5.1,0.092,25.25,8.3,Good,32.4
6.0,0.067,25.49,8.6,Excellent,34.3
6.0,0.063,26.04,6.7,Good,34.2
5.9,0.061,25.96,7.1,Good,28.4
5.2,0.072,25.91,11.8,Excellent,30.5
5.3,0.082,25.81,10.0,Excellent,31.6
5.2,0.046,25.71,6.8,Good,27.5
5.8,0.075,25.7,11.7,Excellent,22.0
5.2,0.046,25.6,9.0,Excellent,18.7
5.7,0.068,25.57,6.1,Good,32.3
6.0,0.011,25.34,10.6,Excellent,30.3
5.2,0.017,25.01,8.5,Excellent,19.3
5.0,0.003,24.99,8.1,Good,22.1
5.8,0.098,24.93,6.1,Good,26.9
5.9,0.018,24.86,11.9,Excellent,29.4
5.0,0.077,24.85,11.3,Excellent,26.6
5.5,0.028,24.74,9.4,Excellent,20.9
5.6,0.051,24.67,8.0,Good,20.8
6.0,0.057,24.47,8.3,Good,22.3
5.3,0.041,24.45,8.6,Excellent,29.8
5.9,0.076,24.34,9.0,Excellent,24.8
5.9,0.052,24.32,8.5,Excellent,31.5
5.5,0.01,23.89,8.3,Good,28.2
5.0,0.042,23.76,9.1,Excellent,34.1
6.0,0.009,23.38,9.2,Excellent,31.6
6.0,0.015,23.29,7.5,Good,33.1
5.2,0.079,23.11,10.6,Excellent,30.6
5.5,0.049,23.03,11.1,Excellent,24.5
5.7,0.091,22.97,10.8,Excellent,18.9
5.2,0.019,22.81,11.4,Excellent,20.6
5.5,0.041,22.8,11.5,Excellent,26.0
5.6,0.072,22.75,10.8,Excellent,27.4
5.6,0.017,22.55,11.4,Excellent,26.9
5.4,0.033,22.47,6.4,Good,24.8
5.0,0.044,22.46,9.7,Excellent,21.7
5.0,0.01,22.37,11.3,Excellent,26.8
6.0,0.098,22.34,6.9,Good,27.9
5.2,0.082,22.32,10.3,Excellent,25.6
6.0,0.035,22.26,6.6,Good,29.9
5.4,0.016,22.01,9.4,Excellent,29.4
5.8,0.053,21.97,8.6,Excellent,24.5
5.2,0.005,21.82,10.0,Excellent,30.3
5.5,0.005,21.64,10.6,Excellent,23.3
5.9,0.057,21.57,9.9,Excellent,34.3
5.0,0.077,21.43,8.5,Excellent,22.3
5.6,0.082,21.36,9.7,Excellent,31.1
5.1,0.061,21.28,9.1,Excellent,25.9
5.8,0.004,21.12,11.3,Excellent,32.0
5.1,0.045,21.05,8.4,Good,18.8
5.8,0.097,21.1,8.9,Excellent,22.2
5.0,0.068,21.18,7.8,Good,21.1
5.1,0.083,21.19,6.1,Good,34.4
5.0,0.024,21.23,8.7,Excellent,28.5
5.6,0.042,21.43,7.2,Good,19.0
5.4,0.004,21.58,6.6,Good,20.2
5.9,0.038,21.76,10.8,Excellent,23.4
5.3,0.077,22.51,11.1,Excellent,31.1
5.3,0.094,22.66,6.1,Good,21.6
5.7,0.098,22.81,10.2,Excellent,20.0
5.2,0.005,22.89,10.1,Excellent,32.1
5.7,0.058,22.97,8.9,Excellent,28.0
6.0,0.013,23.2,10.9,Excellent,20.5
5.6,0.035,23.27,7.7,Good,32.0
5.9,0.097,23.96,7.4,Good,32.2
5.5,0.071,24.11,8.7,Excellent,31.3
5.5,0.095,24.62,10.0,Excellent,26.8
5.2,0.073,24.67,10.0,Excellent,28.7
5.2,0.011,24.76,10.4,Excellent,29.3
6.0,0.093,25.01,10.1,Excellent,31.7
5.2,0.011,25.29,10.4,Excellent,21.3
5.5,0.038,25.31,11.4,Excellent,21.2
5.6,0.092,25.35,10.6,Excellent,19.8
5.7,0.089,25.9,11.9,Excellent,23.6
5.7,0.079,25.93,11.4,Excellent,24.3
5.0,0.07,25.96,11.9,Excellent,32.4
5.8,0.048,25.6,11.4,Excellent,25.5
5.5,0.059,25.51,8.4,Good,23.1
6.0,0.01,25.4,9.5,Excellent,30.0
5.8,0.067,25.34,7.6,Good,29.9
6.0,0.09,25.29,11.9,Excellent,25.2
5.4,0.04,25.23,8.7,Excellent,22.4
5.8,0.084,25.22,7.3,Good,33.7
5.8,0.017,24.94,10.5,Excellent,26.0
5.2,0.048,24.8,9.5,Excellent,27.3
6.0,0.075,24.79,6.6,Good,28.7
5.5,0.007,24.58,10.4,Excellent,27.9
5.1,0.008,24.58,8.3,Good,30.2
5.3,0.028,24.53,8.0,Good,34.1
5.8,0.087,24.42,7.3,Good,21.8
6.0,0.07,24.4,8.6,Excellent,33.3
6.0,0.005,24.28,6.2,Good,28.2
5.4,0.063,24.21,9.0,Excellent,24.3
5.5,0.084,24.15,10.8,Excellent,20.5
5.2,0.034,24.13,10.9,Excellent,29.7
5.1,0.06,24.01,6.4,Good,26.8
5.1,0.073,23.87,9.4,Excellent,32.7
5.5,0.054,23.84,10.8,Excellent,23.4
5.0,0.017,23.81,10.2,Excellent,18.7
5.3,0.028,23.67,9.0,Excellent,33.1
5.3,0.068,23.67,8.2,Good,27.8
5.5,0.049,23.65,11.8,Excellent,31.0
5.6,0.078,23.54,10.6,Excellent,22.4
5.6,0.06,23.39,6.3,Good,22.1
5.3,0.064,22.66,8.3,Good,24.9
5.7,0.018,22.94,9.2,Excellent,30.0
5.6,0.076,22.81,6.5,Good,21.9
6.0,0.054,22.68,12.0,Excellent,24.1
5.0,0.09,22.61,6.1,Good,30.0
5.4,0.071,22.46,6.2,Good,21.1
5.0,0.04,22.34,11.8,Excellent,25.3
5.3,0.002,21.97,8.9,Excellent,25.5
5.9,0.1,21.92,9.2,Excellent,20.5
6.0,0.035,21.86,7.9,Good,27.9
5.2,0.002,21.77,7.6,Good,32.5
5.4,0.044,21.5,10.7,Excellent,34.1
5.8,0.036,21.42,6.2,Good,32.3
5.8,0.033,21.41,8.3,Good,28.8
5.2,0.09,21.24,6.4,Good,29.7
5.9,0.072,21.18,10.8,Excellent,22.4
5.1,0.035,21.09,10.7,Excellent,26.6
5.2,0.081,21.16,11.4,Excellent,20.4
5.9,0.018,21.28,7.8,Good,23.8
5.9,0.046,21.28,7.6,Good,20.9
6.0,0.023,21.47,9.1,Excellent,22.1
6.0,0.088,21.86,6.4,Good,34.2
5.0,0.028,22.42,11.0,Excellent,22.5
5.6,0.082,22.64,11.6,Excellent,30.5
5.7,0.035,22.73,8.3,Good,28.4
6.0,0.066,22.76,8.5,Excellent,30.8
5.5,0.022,23.29,11.5,Excellent,25.9
5.1,0.088,23.72,10.2,Excellent,22.6
5.1,0.003,23.74,6.8,Good,31.5
5.3,0.033,24.2,11.5,Excellent,30.0
5.1,0.047,24.21,6.4,Good,20.1
5.5,0.088,24.51,9.8,Excellent,32.2
5.6,0.076,24.54,7.7,Good,21.3
6.0,0.074,24.86,6.5,Good,27.0
5.2,0.088,24.98,9.4,Excellent,20.9
5.6,0.067,25.16,6.2,Good,25.5
6.0,0.032,25.16,9.9,Excellent,21.9
5.1,0.038,25.18,11.7,Excellent,29.4
5.5,0.028,25.31,8.7,Excellent,28.9
5.8,0.005,25.35,12.0,Excellent,31.9
6.0,0.098,25.37,8.3,Good,29.6
5.8,0.083,25.56,7.0,Good,20.9
5.0,0.094,26.0,11.6,Excellent,33.8
6.0,0.063,25.9,11.1,Excellent,25.2
5.8,0.036,25.64,8.1,Good,33.6
5.9,0.049,25.56,6.3,Good,25.4
5.3,0.01,25.36,8.8,Excellent,24.3
5.8,0.098,25.35,10.2,Excellent,26.9
5.4,0.052,25.29,11.1,Excellent,23.2
5.1,0.012,25.23,10.3,Excellent,22.8
5.7,0.084,25.09,10.8,Excellent,19.1
5.3,0.057,24.9,7.4,Good,33.5
5.6,0.081,24.71,6.2,Good,25.2
5.3,0.032,24.67,7.6,Good,23.7
6.0,0.061,24.5,8.3,Good,26.9
5.7,0.004,24.47,9.3,Excellent,33.4
5.6,0.087,24.43,7.0,Good,26.5
5.2,0.073,24.33,8.5,Excellent,32.2
5.3,0.01,24.26,7.5,Good,25.2
6.0,0.023,24.2,6.7,Good,21.6
5.2,0.098,23.81,9.8,Excellent,34.4
5.3,0.071,23.8,8.5,Excellent,27.3
5.3,0.091,23.78,6.9,Good,18.9
5.6,0.029,23.74,10.0,Excellent,24.8
5.8,0.02,23.58,6.5,Good,28.6
6.0,0.007,23.43,6.3,Good,32.8
5.4,0.048,23.35,8.9,Excellent,21.6
5.6,0.1,23.19,8.4,Good,22.7
5.9,0.095,23.19,7.1,Good,23.4
5.2,0.073,23.16,9.0,Excellent,31.7
5.1,0.071,23.1,8.1,Good,29.2
5.8,0.032,22.99,7.0,Good,27.0
5.3,0.073,22.95,6.5,Good,30.5
5.2,0.017,23.01,11.2,Excellent,33.3
5.7,0.035,22.92,8.3,Good,24.4
5.0,0.072,22.76,6.9,Good,18.7
5.5,0.091,22.74,8.4,Good,25.5
5.0,0.078,22.6,8.6,Excellent,19.0
5.5,0.006,22.53,8.5,Excellent,23.7
5.8,0.079,22.53,9.8,Excellent,30.2
5.0,0.003,22.45,7.9,Good,30.3
5.6,0.051,22.18,7.3,Good,26.4
5.1,0.076,21.65,7.2,Good,22.4
5.6,0.094,21.53,9.8,Excellent,22.7
5.2,0.039,21.47,10.5,Excellent,26.2
5.5,0.036,21.38,10.8,Excellent,27.3
5.7,0.062,21.28,8.4,Good,27.2
5.6,0.092,21.25,11.0,Excellent,24.6
5.7,0.03,21.15,8.0,Good,21.0
5.6,0.07,21.32,8.6,Excellent,28.0
5.2,0.085,21.4,11.2,Excellent,33.2
5.1,0.033,21.79,7.7,Good,25.7
5.1,0.088,21.88,7.0,Good,29.1
5.8,0.079,21.9,8.9,Excellent,28.8
5.8,0.028,21.9,9.9,Excellent,25.5
5.8,0.03,22.05,6.0,Good,19.1
