pH,Ammonia,Temp,Turbidity,pH_Status,Ammonia_Status,Temp_Status,Turbidity_Status,Water Pump,Heater
5.4,0.058,22.47,25.0,Low,Low,Low,Low,ON,ON
5.3,0.018,22.07,20.6,Low,High,Low,Low,ON,ON
5.0,0.06,21.88,23.6,Low,Low,Low,Low,ON,ON
5.5,0.022,21.85,31.9,Low,High,Low,Low,ON,ON
5.5,0.048,21.83,21.4,Low,High,Low,Low,ON,ON
5.5,0.052,21.59,21.3,Low,Low,Low,Low,ON,ON
5.8,0.081,21.51,24.2,Low,Low,Low,Low,ON,ON
5.0,0.007,21.46,30.7,Low,High,Low,Low,ON,ON
6.0,0.07,21.38,24.3,Low,Low,Low,Low,ON,ON
5.3,0.055,21.27,21.3,Low,Low,Low,Low,ON,ON
5.1,0.045,21.24,28.3,Low,High,Low,Low,ON,ON
5.3,0.023,21.17,20.6,Low,High,Low,Low,ON,ON
6.0,0.05,21.14,29.2,Low,High,Low,Low,ON,ON
5.6,0.044,21.32,29.7,Low,High,Low,Low,ON,ON
5.8,0.089,21.7,27.1,Low,Low,Low,Low,ON,ON
5.9,0.006,21.72,25.3,Low,High,Low,Low,ON,ON
6.0,0.021,21.78,32.0,Low,High,Low,Low,ON,ON
5.8,0.036,21.94,19.5,Low,High,Low,High,OFF,ON
5.2,0.039,22.03,24.1,Low,High,Low,Low,ON,ON
6.0,0.061,22.14,26.7,Low,Low,Low,Low,ON,ON
5.0,0.05,22.21,33.6,Low,High,Low,Low,ON,ON
5.8,0.087,22.27,32.4,Low,Low,Low,Low,ON,ON
5.1,0.1,22.52,20.5,Low,Low,Low,Low,ON,ON
5.2,0.077,23.33,24.4,Low,Low,Low,Low,ON,ON
5.7,0.04,23.33,27.8,Low,High,Low,Low,ON,ON
5.9,0.095,23.43,29.0,Low,Low,Low,Low,ON,ON
5.1,0.018,23.75,19.9,Low,High,Low,High,OFF,ON
5.5,0.03,23.76,20.5,Low,High,Low,Low,ON,ON
5.9,0.093,23.88,23.3,Low,Low,Low,Low,ON,ON
5.8,0.056,23.99,28.5,Low,Low,Low,Low,ON,ON
5.9,0.083,24.02,31.0,Low,Low,Low,Low,ON,ON
5.8,0.097,24.03,24.3,Low,Low,Low,Low,ON,ON
5.8,0.078,24.5,24.3,Low,Low,Low,Low,ON,ON
5.3,0.077,24.51,19.9,Low,Low,Low,High,ON,ON
5.3,0.031,24.82,31.5,Low,High,Low,Low,ON,ON
5.0,0.021,25.08,22.1,Low,High,Low,Low,ON,ON
5.6,0.095,25.34,21.5,Low,Low,Low,Low,ON,ON
5.7,0.071,25.73,26.9,Low,Low,Low,Low,ON,ON
5.2,0.076,25.97,24.3,Low,Low,Low,Low,ON,ON
5.1,0.008,25.99,30.1,Low,High,Low,Low,ON,ON
5.5,0.007,25.95,29.2,Low,High,Low,Low,ON,ON
6.0,0.071,25.88,25.2,Low,Low,Low,Low,ON,ON
5.8,0.054,25.83,30.0,Low,Low,Low,Low,ON,ON
5.1,0.014,25.74,19.4,Low,High,Low,High,OFF,ON
5.5,0.011,25.62,27.3,Low,High,Low,Low,ON,ON
5.4,0.009,25.61,29.6,Low,High,Low,Low,ON,ON
5.5,0.059,25.54,30.7,Low,Low,Low,Low,ON,ON
5.0,0.026,25.26,28.1,Low,High,Low,Low,ON,ON
5.7,0.093,25.22,28.1,Low,Low,Low,Low,ON,ON
5.1,0.062,24.82,22.7,Low,Low,Low,Low,ON,ON
5.6,0.019,24.75,24.1,Low,High,Low,Low,ON,ON
5.1,0.096,24.58,19.8,Low,Low,Low,High,ON,ON
5.1,0.049,24.54,24.5,Low,High,Low,Low,ON,ON
5.9,0.083,24.25,28.6,Low,Low,Low,Low,ON,ON
5.0,0.085,24.23,31.8,Low,Low,Low,Low,ON,ON
5.3,0.017,24.13,19.1,Low,High,Low,High,OFF,ON
5.8,0.005,23.95,20.0,Low,High,Low,High,OFF,ON
5.9,0.022,23.94,23.9,Low,High,Low,Low,ON,ON
5.3,0.041,23.89,30.9,Low,High,Low,Low,ON,ON
5.5,0.03,23.85,34.3,Low,High,Low,Low,ON,ON
6.0,0.03,23.68,32.0,Low,High,Low,Low,ON,ON
5.0,0.023,23.5,34.3,Low,High,Low,Low,ON,ON
6.0,0.067,23.47,31.1,Low,Low,Low,Low,ON,ON
5.0,0.041,23.34,26.8,Low,High,Low,Low,ON,ON
5.5,0.037,23.26,19.2,Low,High,Low,High,OFF,ON
5.0,0.009,23.21,20.0,Low,High,Low,High,OFF,ON
5.6,0.041,23.14,24.8,Low,High,Low,Low,ON,ON
5.9,0.07,23.07,29.1,Low,Low,Low,Low,ON,ON
5.0,0.034,22.79,22.7,Low,High,Low,Low,ON,ON
5.6,0.063,22.69,19.5,Low,Low,Low,High,ON,ON
5.5,0.058,22.59,30.6,Low,Low,Low,Low,ON,ON
5.7,0.068,22.57,23.4,Low,Low,Low,Low,ON,ON
5.7,0.005,22.53,20.9,Low,High,Low,Low,ON,ON
5.3,0.067,22.52,34.1,Low,Low,Low,Low,ON,ON
5.9,0.049,22.21,20.7,Low,High,Low,Low,ON,ON
5.1,0.002,22.12,29.9,Low,High,Low,Low,ON,ON
5.0,0.089,22.03,30.5,Low,Low,Low,Low,ON,ON
5.4,0.031,21.88,20.8,Low,High,Low,Low,ON,ON
5.6,0.094,21.79,31.1,Low,Low,Low,Low,ON,ON
5.7,0.077,21.67,27.7,Low,Low,Low,Low,ON,ON
5.3,0.019,21.62,31.4,Low,High,Low,Low,ON,ON
5.0,0.064,21.55,20.7,Low,Low,Low,Low,ON,ON
5.3,0.019,21.5,33.6,Low,High,Low,Low,ON,ON
5.3,0.055,21.46,34.4,Low,Low,Low,Low,ON,ON
5.5,0.012,21.35,21.9,Low,High,Low,Low,ON,ON
5.8,0.039,21.52,24.0,Low,High,Low,Low,ON,ON
5.4,0.061,21.92,33.3,Low,Low,Low,Low,ON,ON
5.2,0.071,21.93,30.5,Low,Low,Low,Low,ON,ON
5.3,0.029,21.96,23.6,Low,High,Low,Low,ON,ON
5.2,0.055,22.31,29.3,Low,Low,Low,Low,ON,ON
5.1,0.021,23.06,24.3,Low,High,Low,Low,ON,ON
5.4,0.049,23.15,23.1,Low,High,Low,Low,ON,ON
5.7,0.066,23.23,21.7,Low,Low,Low,Low,ON,ON
5.8,0.035,23.3,21.6,Low,High,Low,Low,ON,ON
5.0,0.011,23.53,34.0,Low,High,Low,Low,ON,ON
5.1,0.075,23.75,27.8,Low,Low,Low,Low,ON,ON
5.2,0.043,24.03,29.3,Low,High,Low,Low,ON,ON
5.1,0.044,24.05,27.0,Low,High,Low,Low,ON,ON
5.6,0.082,24.05,34.1,Low,Low,Low,Low,ON,ON
5.7,0.027,24.22,24.6,Low,High,Low,Low,ON,ON
5.6,0.096,24.29,21.5,Low,Low,Low,Low,ON,ON
5.6,0.079,24.39,21.2,Low,Low,Low,Low,ON,ON
5.8,0.017,24.39,23.3,Low,High,Low,Low,ON,ON
5.0,0.045,24.76,20.1,Low,High,Low,Low,ON,ON
5.2,0.096,24.9,24.8,Low,Low,Low,Low,ON,ON
5.9,0.018,24.93,18.7,Low,High,Low,High,OFF,ON
5.3,0.093,25.01,27.0,Low,Low,Low,Low,ON,ON
5.4,0.032,25.13,19.5,Low,High,Low,High,OFF,ON
5.6,0.058,25.17,30.3,Low,Low,Low,Low,ON,ON
5.2,0.03,25.55,33.5,Low,High,Low,Low,ON,ON
5.1,0.017,25.64,29.6,Low,High,Low,Low,ON,ON
5.4,0.07,26.08,22.3,Low,Low,High,Low,ON,OFF
5.6,0.092,26.07,21.6,Low,Low,High,Low,ON,OFF
5.5,0.031,25.86,27.4,Low,High,Low,Low,ON,ON
5.4,0.073,25.83,22.3,Low,Low,Low,Low,ON,ON
5.7,0.077,25.75,29.6,Low,Low,Low,Low,ON,ON
5.4,0.047,25.73,31.2,Low,High,Low,Low,ON,ON
5.7,0.026,25.65,32.0,Low,High,Low,Low,ON,ON
6.0,0.024,25.58,24.9,Low,High,Low,Low,ON,ON
5.1,0.059,25.45,24.3,Low,Low,Low,Low,ON,ON
5.1,0.057,25.37,25.9,Low,Low,Low,Low,ON,ON
5.7,0.011,25.15,19.6,Low,High,Low,High,OFF,ON
5.7,0.021,25.15,25.7,Low,High,Low,Low,ON,ON
5.1,0.035,25.1,23.5,Low,High,Low,Low,ON,ON
6.0,0.062,25.07,21.9,Low,Low,Low,Low,ON,ON
5.4,0.094,24.98,33.5,Low,Low,Low,Low,ON,ON
5.2,0.07,24.87,19.1,Low,Low,Low,High,ON,ON
5.0,0.082,24.69,31.4,Low,Low,Low,Low,ON,ON
5.5,0.062,24.66,32.4,Low,Low,Low,Low,ON,ON
5.8,0.053,24.66,22.8,Low,Low,Low,Low,ON,ON
5.7,0.056,24.5,29.4,Low,Low,Low,Low,ON,ON
5.5,0.054,24.21,21.4,Low,Low,Low,Low,ON,ON
5.4,0.088,24.15,22.6,Low,Low,Low,Low,ON,ON
5.5,0.078,24.11,26.1,Low,Low,Low,Low,ON,ON
5.0,0.065,24.07,29.8,Low,Low,Low,Low,ON,ON
5.5,0.01,24.01,25.9,Low,High,Low,Low,ON,ON
5.4,0.066,23.61,30.4,Low,Low,Low,Low,ON,ON
5.4,0.014,23.09,24.7,Low,High,Low,Low,ON,ON
5.6,0.037,23.02,23.9,Low,High,Low,Low,ON,ON
6.0,0.063,22.87,19.3,Low,Low,Low,High,ON,ON
5.8,0.076,22.84,33.7,Low,Low,Low,Low,ON,ON
5.5,0.091,22.93,28.4,Low,Low,Low,Low,ON,ON
5.5,0.016,22.89,19.7,Low,High,Low,High,OFF,ON
5.2,0.021,22.72,23.3,Low,High,Low,Low,ON,ON
5.0,0.092,22.71,29.7,Low,Low,Low,Low,ON,ON
5.6,0.092,22.46,30.8,Low,Low,Low,Low,ON,ON
5.2,0.095,22.35,26.9,Low,Low,Low,Low,ON,ON
6.0,0.072,22.34,33.8,Low,Low,Low,Low,ON,ON
5.7,0.057,22.33,26.8,Low,Low,Low,Low,ON,ON
5.1,0.056,22.22,30.1,Low,Low,Low,Low,ON,ON
5.3,0.069,22.02,27.2,Low,Low,Low,Low,ON,ON
5.0,0.074,21.96,27.9,Low,Low,Low,Low,ON,ON
5.1,0.039,21.79,32.1,Low,High,Low,Low,ON,ON
5.4,0.009,21.72,28.2,Low,High,Low,Low,ON,ON
5.0,0.006,21.7,30.4,Low,High,Low,Low,ON,ON
5.7,0.04,21.48,28.5,Low,High,Low,Low,ON,ON
5.9,0.013,21.13,21.7,Low,High,Low,Low,ON,ON
5.0,0.065,21.35,34.3,Low,Low,Low,Low,ON,ON
5.0,0.004,21.36,24.1,Low,High,Low,Low,ON,ON
5.0,0.067,21.39,28.7,Low,Low,Low,Low,ON,ON
6.0,0.05,21.78,27.5,Low,High,Low,Low,ON,ON
5.1,0.003,21.81,22.8,Low,High,Low,Low,ON,ON
5.4,0.011,22.07,26.8,Low,High,Low,Low,ON,ON
6.0,0.083,22.07,29.5,Low,Low,Low,Low,ON,ON
5.5,0.05,22.15,31.2,Low,High,Low,Low,ON,ON
6.0,0.035,22.25,20.9,Low,High,Low,Low,ON,ON
5.8,0.01,22.5,33.0,Low,High,Low,Low,ON,ON
5.7,0.004,22.82,24.4,Low,High,Low,Low,ON,ON
5.2,0.025,22.92,25.8,Low,High,Low,Low,ON,ON
5.6,0.008,22.94,25.9,Low,High,Low,Low,ON,ON
5.2,0.051,23.32,25.2,Low,Low,Low,Low,ON,ON
5.8,0.054,23.54,30.0,Low,Low,Low,Low,ON,ON
5.0,0.072,23.79,29.5,Low,Low,Low,Low,ON,ON
5.4,0.054,24.04,19.5,Low,Low,Low,High,ON,ON
5.9,0.091,24.09,30.3,Low,Low,Low,Low,ON,ON
5.8,0.016,24.21,19.5,Low,High,Low,High,OFF,ON
5.4,0.066,24.3,31.9,Low,Low,Low,Low,ON,ON
5.7,0.056,24.34,28.7,Low,Low,Low,Low,ON,ON
5.6,0.014,24.53,26.4,Low,High,Low,Low,ON,ON
5.5,0.076,24.55,23.6,Low,Low,Low,Low,ON,ON
5.2,0.042,24.77,22.9,Low,High,Low,Low,ON,ON
5.0,0.019,25.23,24.0,Low,High,Low,Low,ON,ON
5.5,0.083,25.93,20.1,Low,Low,Low,Low,ON,ON
5.9,0.043,25.91,22.1,Low,High,Low,Low,ON,ON
5.9,0.09,25.9,20.2,Low,Low,Low,Low,ON,ON
5.9,0.036,25.66,32.2,Low,High,Low,Low,ON,ON
5.0,0.041,25.46,18.8,Low,High,Low,High,OFF,ON
5.2,0.009,25.28,29.1,Low,High,Low,Low,ON,ON
5.2,0.061,25.26,22.9,Low,Low,Low,Low,ON,ON
5.4,0.001,25.21,28.3,Low,High,Low,Low,ON,ON
5.2,0.065,24.98,21.8,Low,Low,Low,Low,ON,ON
5.4,0.08,24.88,24.7,Low,Low,Low,Low,ON,ON
5.8,0.02,24.74,33.9,Low,High,Low,Low,ON,ON
5.1,0.096,24.62,23.0,Low,Low,Low,Low,ON,ON
5.5,0.004,24.56,20.4,Low,High,Low,Low,ON,ON
5.8,0.097,24.55,31.1,Low,Low,Low,Low,ON,ON
5.3,0.007,24.53,31.1,Low,High,Low,Low,ON,ON
6.0,0.09,24.38,20.6,Low,Low,Low,Low,ON,ON
5.1,0.044,24.38,31.5,Low,High,Low,Low,ON,ON
5.0,0.04,24.29,18.8,Low,High,Low,High,OFF,ON
5.3,0.034,24.21,24.3,Low,High,Low,Low,ON,ON
5.8,0.017,24.2,25.2,Low,High,Low,Low,ON,ON
5.0,0.015,24.13,28.2,Low,High,Low,Low,ON,ON
6.0,0.004,23.97,23.7,Low,High,Low,Low,ON,ON
5.2,0.038,23.79,22.4,Low,High,Low,Low,ON,ON
5.8,0.048,23.77,21.0,Low,High,Low,Low,ON,ON
5.4,0.053,23.7,25.8,Low,Low,Low,Low,ON,ON
5.6,0.087,23.67,26.9,Low,Low,Low,Low,ON,ON
5.0,0.002,23.56,26.8,Low,High,Low,Low,ON,ON
5.7,0.017,23.27,24.4,Low,High,Low,Low,ON,ON
5.0,0.089,23.22,27.5,Low,Low,Low,Low,ON,ON
5.5,0.079,22.98,18.7,Low,Low,Low,High,ON,ON
5.5,0.033,22.96,30.0,Low,High,Low,Low,ON,ON
5.5,0.033,22.47,19.1,Low,High,Low,High,OFF,ON
5.7,0.007,22.32,21.1,Low,High,Low,Low,ON,ON
5.6,0.08,22.27,26.4,Low,Low,Low,Low,ON,ON
5.0,0.039,22.2,22.6,Low,High,Low,Low,ON,ON
5.5,0.078,22.03,21.3,Low,Low,Low,Low,ON,ON
5.4,0.026,21.92,31.7,Low,High,Low,Low,ON,ON
5.3,0.011,21.84,30.0,Low,High,Low,Low,ON,ON
5.6,0.052,21.72,23.0,Low,Low,Low,Low,ON,ON
5.1,0.04,21.65,21.9,Low,High,Low,Low,ON,ON
5.9,0.035,21.53,21.1,Low,High,Low,Low,ON,ON
5.9,0.07,21.44,32.5,Low,Low,Low,Low,ON,ON
6.0,0.022,21.41,25.7,Low,High,Low,Low,ON,ON
5.6,0.098,21.14,33.9,Low,Low,Low,Low,ON,ON
5.3,0.043,21.1,25.8,Low,High,Low,Low,ON,ON
5.6,0.007,21.07,30.2,Low,High,Low,Low,ON,ON
5.4,0.074,21.02,32.3,Low,Low,Low,Low,ON,ON
5.6,0.06,21.12,30.5,Low,Low,Low,Low,ON,ON
5.8,0.09,21.4,25.7,Low,Low,Low,Low,ON,ON
6.0,0.091,21.48,23.2,Low,Low,Low,Low,ON,ON
5.5,0.044,21.61,26.8,Low,High,Low,Low,ON,ON
5.9,0.034,21.8,20.3,Low,High,Low,Low,ON,ON
6.0,0.097,22.08,30.1,Low,Low,Low,Low,ON,ON
5.7,0.099,23.9,26.5,Low,Low,Low,Low,ON,ON
5.6,0.088,23.99,23.8,Low,Low,Low,Low,ON,ON
5.7,0.059,24.22,27.9,Low,Low,Low,Low,ON,ON
5.9,0.009,24.34,30.3,Low,High,Low,Low,ON,ON
5.2,0.093,24.56,25.2,Low,Low,Low,Low,ON,ON
5.1,0.085,24.78,30.8,Low,Low,Low,Low,ON,ON
5.9,0.092,24.83,25.6,Low,Low,Low,Low,ON,ON
6.0,0.075,24.92,23.7,Low,Low,Low,Low,ON,ON
5.0,0.085,24.97,28.2,Low,Low,Low,Low,ON,ON
5.0,0.09,24.98,20.7,Low,Low,Low,Low,ON,ON
5.0,0.094,24.99,22.3,Low,Low,Low,Low,ON,ON
5.1,0.035,25.09,19.9,Low,High,Low,High,OFF,ON
5.0,0.073,25.16,18.9,Low,Low,Low,High,ON,ON
5.8,0.053,25.18,33.4,Low,Low,Low,Low,ON,ON
5.6,0.012,25.21,23.6,Low,High,Low,Low,ON,ON
5.4,0.081,25.49,23.4,Low,Low,Low,Low,ON,ON
5.1,0.035,25.56,21.2,Low,High,Low,Low,ON,ON
5.0,0.043,25.66,30.0,Low,High,Low,Low,ON,ON
5.3,0.025,25.9,21.1,Low,High,Low,Low,ON,ON
5.4,0.039,25.92,21.5,Low,High,Low,Low,ON,ON
5.7,0.069,25.66,32.1,Low,Low,Low,Low,ON,ON
5.7,0.041,25.56,30.8,Low,High,Low,Low,ON,ON
5.2,0.022,25.51,33.0,Low,High,Low,Low,ON,ON
5.3,0.057,25.42,20.4,Low,Low,Low,Low,ON,ON
5.4,0.041,25.38,27.1,Low,High,Low,Low,ON,ON
6.0,0.022,25.37,27.8,Low,High,Low,Low,ON,ON
6.0,0.066,25.32,30.4,Low,Low,Low,Low,ON,ON
5.7,0.055,25.11,22.7,Low,Low,Low,Low,ON,ON
5.4,0.052,25.08,24.6,Low,Low,Low,Low,ON,ON
5.5,0.017,25.06,28.8,Low,High,Low,Low,ON,ON
5.2,0.039,24.99,22.3,Low,High,Low,Low,ON,ON
5.9,0.05,24.86,24.6,Low,High,Low,Low,ON,ON
5.9,0.066,24.85,33.1,Low,Low,Low,Low,ON,ON
6.0,0.032,24.65,23.5,Low,High,Low,Low,ON,ON
6.0,0.098,24.48,24.3,Low,Low,Low,Low,ON,ON
5.0,0.069,24.47,27.6,Low,Low,Low,Low,ON,ON
5.8,0.071,24.29,32.9,Low,Low,Low,Low,ON,ON
5.0,0.099,24.18,30.8,Low,Low,Low,Low,ON,ON
5.4,0.053,24.14,34.3,Low,Low,Low,Low,ON,ON
6.0,0.001,24.1,30.5,Low,High,Low,Low,ON,ON
5.5,0.07,23.91,31.3,Low,Low,Low,Low,ON,ON
6.0,0.09,23.72,31.9,Low,Low,Low,Low,ON,ON
5.6,0.038,23.66,33.8,Low,High,Low,Low,ON,ON
5.4,0.071,23.59,30.9,Low,Low,Low,Low,ON,ON
5.0,0.034,23.41,33.7,Low,High,Low,Low,ON,ON
5.9,0.077,23.36,23.9,Low,Low,Low,Low,ON,ON
5.8,0.004,23.25,31.1,Low,High,Low,Low,ON,ON
5.1,0.014,22.96,22.9,Low,High,Low,Low,ON,ON
5.5,0.054,22.86,23.9,Low,Low,Low,Low,ON,ON
5.3,0.026,22.84,22.3,Low,High,Low,Low,ON,ON
5.3,0.003,22.74,30.1,Low,High,Low,Low,ON,ON
5.9,0.04,22.41,23.1,Low,High,Low,Low,ON,ON
5.0,0.001,22.38,34.4,Low,High,Low,Low,ON,ON
5.2,0.07,22.16,27.4,Low,Low,Low,Low,ON,ON
5.5,0.068,22.02,25.0,Low,Low,Low,Low,ON,ON
5.5,0.099,21.94,31.6,Low,Low,Low,Low,ON,ON
5.7,0.016,21.91,33.5,Low,High,Low,Low,ON,ON
6.0,0.023,21.8,22.9,Low,High,Low,Low,ON,ON
6.0,0.014,21.65,18.8,Low,High,Low,High,OFF,ON
5.2,0.071,21.62,21.1,Low,Low,Low,Low,ON,ON
5.4,0.073,21.53,34.3,Low,Low,Low,Low,ON,ON
5.5,0.087,21.5,26.7,Low,Low,Low,Low,ON,ON
5.5,0.01,21.45,29.9,Low,High,Low,Low,ON,ON
5.2,0.039,21.3,20.9,Low,High,Low,Low,ON,ON
5.1,0.035,21.25,28.2,Low,High,Low,Low,ON,ON
5.6,0.071,21.11,30.0,Low,Low,Low,Low,ON,ON
5.3,0.082,21.02,29.4,Low,Low,Low,Low,ON,ON
5.9,0.031,21.08,28.7,Low,High,Low,Low,ON,ON
5.0,0.015,21.16,31.4,Low,High,Low,Low,ON,ON
5.5,0.034,21.38,26.3,Low,High,Low,Low,ON,ON
5.6,0.04,21.39,34.0,Low,High,Low,Low,ON,ON
5.8,0.013,21.56,30.3,Low,High,Low,Low,ON,ON
5.1,0.087,21.71,26.7,Low,Low,Low,Low,ON,ON
5.8,0.085,21.93,29.8,Low,Low,Low,Low,ON,ON
5.1,0.048,21.99,28.5,Low,High,Low,Low,ON,ON
5.4,0.039,22.07,30.6,Low,High,Low,Low,ON,ON
5.5,0.005,22.21,33.3,Low,High,Low,Low,ON,ON
6.0,0.06,22.22,26.0,Low,Low,Low,Low,ON,ON
5.9,0.091,22.4,33.6,Low,Low,Low,Low,ON,ON
5.7,0.045,22.9,27.5,Low,High,Low,Low,ON,ON
5.9,0.085,23.36,23.8,Low,Low,Low,Low,ON,ON
5.2,0.072,23.38,28.3,Low,Low,Low,Low,ON,ON
5.5,0.07,23.43,27.0,Low,Low,Low,Low,ON,ON
5.5,0.028,23.59,26.9,Low,High,Low,Low,ON,ON
5.0,0.064,23.59,29.1,Low,Low,Low,Low,ON,ON
5.2,0.013,23.6,29.5,Low,High,Low,Low,ON,ON
5.1,0.083,23.82,32.2,Low,Low,Low,Low,ON,ON
5.7,0.057,24.36,24.1,Low,Low,Low,Low,ON,ON
5.4,0.018,24.85,22.5,Low,High,Low,Low,ON,ON
5.8,0.032,24.97,22.6,Low,High,Low,Low,ON,ON
5.1,0.092,25.25,32.4,Low,Low,Low,Low,ON,ON
6.0,0.067,25.49,34.3,Low,Low,Low,Low,ON,ON
6.0,0.063,26.04,34.2,Low,Low,High,Low,ON,OFF
5.9,0.061,25.96,28.4,Low,Low,Low,Low,ON,ON
5.2,0.072,25.91,30.5,Low,Low,Low,Low,ON,ON
5.3,0.082,25.81,31.6,Low,Low,Low,Low,ON,ON
5.2,0.046,25.71,27.5,Low,High,Low,Low,ON,ON
5.8,0.075,25.7,22.0,Low,Low,Low,Low,ON,ON
5.2,0.046,25.6,18.7,Low,High,Low,High,OFF,ON
5.7,0.068,25.57,32.3,Low,Low,Low,Low,ON,ON
6.0,0.011,25.34,30.3,Low,High,Low,Low,ON,ON
5.2,0.017,25.01,19.3,Low,High,Low,High,OFF,ON
5.0,0.003,24.99,22.1,Low,High,Low,Low,ON,ON
5.8,0.098,24.93,26.9,Low,Low,Low,Low,ON,ON
5.9,0.018,24.86,29.4,Low,High,Low,Low,ON,ON
5.0,0.077,24.85,26.6,Low,Low,Low,Low,ON,ON
5.5,0.028,24.74,20.9,Low,High,Low,Low,ON,ON
5.6,0.051,24.67,20.8,Low,Low,Low,Low,ON,ON
6.0,0.057,24.47,22.3,Low,Low,Low,Low,ON,ON
5.3,0.041,24.45,29.8,Low,High,Low,Low,ON,ON
5.9,0.076,24.34,24.8,Low,Low,Low,Low,ON,ON
5.9,0.052,24.32,31.5,Low,Low,Low,Low,ON,ON
5.5,0.01,23.89,28.2,Low,High,Low,Low,ON,ON
5.0,0.042,23.76,34.1,Low,High,Low,Low,ON,ON
6.0,0.009,23.38,31.6,Low,High,Low,Low,ON,ON
6.0,0.015,23.29,33.1,Low,High,Low,Low,ON,ON
5.2,0.079,23.11,30.6,Low,Low,Low,Low,ON,ON
5.5,0.049,23.03,24.5,Low,High,Low,Low,ON,ON
5.7,0.091,22.97,18.9,Low,Low,Low,High,ON,ON
5.2,0.019,22.81,20.6,Low,High,Low,Low,ON,ON
5.5,0.041,22.8,26.0,Low,High,Low,Low,ON,ON
5.6,0.072,22.75,27.4,Low,Low,Low,Low,ON,ON
5.6,0.017,22.55,26.9,Low,High,Low,Low,ON,ON
5.4,0.033,22.47,24.8,Low,High,Low,Low,ON,ON
5.0,0.044,22.46,21.7,Low,High,Low,Low,ON,ON
5.0,0.01,22.37,26.8,Low,High,Low,Low,ON,ON
6.0,0.098,22.34,27.9,Low,Low,Low,Low,ON,ON
5.2,0.082,22.32,25.6,Low,Low,Low,Low,ON,ON
